Handel, Andreas (Author)
Time span:1900-2021. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Severe Outcomes Are Associated With Genogroup 2 Genotype 4 Norovirus Outbreaks: A Systematic Literature Review","Desai, Rishi; Hembree, Christal D.; Handel, Andreas; Matthews, Jonathan E.; Dickey, Benjamin W.; McDonald, Sharla; Hall, Aron J.; Parashar, Umesh D.; Leon, Juan S.; Lopman, Benjamin","","","","CLINICAL INFECTIOUS DISEASES","JUL 15 2012","2012","55","2","","","","189","193","","10.1093/cid/cis372","","","114","11.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","19","15","24","21","9","7","7","7","4"
"A review of mathematical models of influenza A infections within a host or cell culture: lessons learned and challenges ahead","Beauchemin, Catherine A. A.; Handel, Andreas","","","","BMC PUBLIC HEALTH","FEB 25 2011","2011","11","","","1","","","","S7","10.1186/1471-2458-11-S1-S7","","","105","9.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","11","8","12","12","8","14","14","14","7"
"Dominant protection from HLA-linked autoimmunity by antigen-specific regulatory T cells","Ooi, Joshua D.; Petersen, Jan; Tan, Yu H.; Huynh, Megan; Willett, Zoe J.; Ramarathinam, Sri H.; Eggenhuizen, Peter J.; Loh, Khai L.; Watson, Katherine A.; Gan, Poh Y.; Likhan, Maliha A. A.; Dudek, Nadine L.; Handel, Andreas; Hudson, Billy G.; Fugger, Lars; Power, David A.; Holt, Stephen G.; Coates, P. Toby; Gregersen, Jon W.; Purcell, Anthony W.; Holdsworth, Stephen R.; La Gruta, Nicole L.; Reid, Hugh H.; Rossjohn, Jamie; Kitching, A. Richard","","","","NATURE","MAY 11 2017","2017","545","7653","","","","243","+","","10.1038/nature22329","","","99","19.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","28","29","30","6"
"Neuraminidase inhibitor resistance in influenza: Assessing the danger of its generation and spread","Handel, Andreas; Longini, Ira M., Jr.; Antia, Rustom","","","","PLOS COMPUTATIONAL BIOLOGY","DEC 2007","2007","3","12","","","","2456","2464","e240","10.1371/journal.pcbi.0030240","","","97","6.47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","10","5","9","10","9","8","10","6","7","4","6","9","3"
"Molecular evolution and emergence of avian gammacoronaviruses","Jackwood, Mark W.; Hall, David; Handel, Andreas","","","","INFECTION GENETICS AND EVOLUTION","AUG 2012","2012","12","6","","","","1305","1311","","10.1016/j.meegid.2012.05.003","","","96","9.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","7","9","15","15","7","10","19","7"
"Transmissibility and mortality impact of epidemic and pandemic influenza, with emphasis on the unusually deadly 1951 epidemic","Viboud, Cecile; Tam, Theresa; Fleming, Douglas; Handel, Andreas; Miller, Mark A.; Simonsen, Lone","","","","VACCINE","NOV 10 2006","2006","24","44-46","","","","6701","6707","","10.1016/j.vaccine.2006.05.067","2nd European Influenza Conference","SEP 11-14, 2005","88","5.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","10","14","13","9","6","8","7","3","4","2","2","2","4","0"
"Towards a quantitative understanding of the within-host dynamics of influenza A infections","Handel, Andreas; Longini, Ira M., Jr.; Antia, Rustom","","","","JOURNAL OF THE ROYAL SOCIETY INTERFACE","JAN 6 2010","2010","7","42","","","","35","47","","10.1098/rsif.2009.0067","","","85","7.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","11","5","9","10","12","7","3","8","9","5","3"
"Feasibility of achieving the 2025 WHO global tuberculosis targets in South Africa, China, and India: a combined analysis of 11 mathematical models","Houben, Rein M. G. J.; Menzies, Nicolas A.; Sumner, Tom; Huynh, Grace H.; Arinaminpathy, Nimalan; Goldhaber-Fiebert, Jeremy D.; Lin, Hsien-Ho; Wu, Chieh-Yin; Mandal, Sandip; Pandey, Surabhi; Suen, Sze-Chuan; Bendavid, Eran; Azman, Andrew S.; Dowdy, David W.; Bacaer, Nicolas; Rhines, Allison S.; Feldman, Marcus W.; Handel, Andreas; Whalen, Christopher C.; Chang, Stewart T.; Wagner, Bradley G.; Eckhoff, Philip A.; Trauer, James M.; Denholm, Justin T.; McBryde, Emma S.; Cohen, Ted; Salomon, Joshua A.; Pretorius, Carel; Lalli, Marek; Eaton, Jeffrey W.; Boccia, Delia; Hosseini, Mehran; Gomez, Gabriela B.; Sahu, Suvanand; Daniels, Colleen; Ditiu, Lucica; Chin, Daniel P.; Wang, Lixia; Chadha, Vineet K.; Rade, Kiran; Hippner, Piotr; Charalambous, Salome; Grant, Alison D.; Churchyard, Gavin; Pillay, Yogan; Mametja, L. David; Kimerling, Michael E.; Vassall, Anna; White, Richard G.","","","","LANCET GLOBAL HEALTH","NOV 2016","2016","4","11","","","","E806","E815","","10.1016/S2214-109X(16)30199-1","","","82","13.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","16","18","27","10"
"The role of compensatory mutations in the emergence of drug resistance","Handel, Andreas; Regoes, Roland R.; Antia, Rustom","","","","PLOS COMPUTATIONAL BIOLOGY","OCT 2006","2006","2","10","","","","1262","1270","e137","10.1371/journal.pcbi.0020137","","","80","5.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","6","10","10","8","7","7","2","3","5","4","8","2","1","2"
"Heterogeneous Adaptive Trajectories of Small Populations on Complex Fitness Landscapes","Rozen, Daniel E.; Habets, Michelle G. J. L.; Handel, Andreas; de Visser, J. Arjan G. M.","","","","PLOS ONE","MAR 5 2008","2008","3","3","","","","","","e1715","10.1371/journal.pone.0001715","","","60","4.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","7","3","4","6","4","7","7","8","3","4","2"
